arb_id,facility_name,reporting_year,total_emissions_co2e,total_emissions_co2e_non_biogenic,co2_biogenic,fuel_supplier_co2e_non_biogenic,fuel_supplier_co2e_biogenic,electricity_importer_Correspondance2e,emitter_covered_emissions,fuel_supplier_covered_emissions,electricity_importer_covered_emissions,total_covered_emissions,total_non_covered_emissions,city,state,zip_code,naics,epa_carb_subparts,industry_sector
5002,Southern California Gas Company - End User Emissions,2020,40409268.21,0.00,0.00,40388206.76,21061.45,0.00,0.00,20754129.02,0.00,20754129.02,19655139.19,Los Angeles,CA,90013,221210 - Natural Gas Distribution,NN,"Supplier of Natural Gas, NGL, or LPG"
3042,Los Angeles Department of Water & Power (LADWP) - EPE,2020,4741327.06,0.00,0.00,0.00,0.00,4741327.06,0.00,0.00,3313671.67,3313671.67,1427655.39,Los Angeles,CA,90012,221121 - Electric Bulk Power Transmission and Control,EPE,Electricity Importer
104024,Pacific Gas and Electric Company (PG&E) - Supplier of Natural Gas ,2020,40304582.67,0.00,0.00,40304582.67,0.00,0.00,0.00,17880395.19,0.00,17880395.19,22424187.48,San Francisco,CA,94105,221210 - Natural Gas Distribution,NN,"Supplier of Natural Gas, NGL, or LPG"
5012,Tesoro Refining and Marketing - Fuel Supplier,2020,34830788.40,0.00,0.00,32678133.12,2152655.28,0.00,0.00,32678133.12,0.00,32678133.12,2152655.28,FINDLAY,OH,45840,424710 - Petroleum Bulk Stations and Terminals,MM,Transportation Fuel Supplier
104223,Chevron Products Company - Headquarters Fuel Supplier,2020,31725200.48,0.00,0.00,29032652.20,2692548.28,0.00,0.00,29032652.20,0.00,29032652.20,2692548.28,San Ramon,CA,94583,324110 - Petroleum Refineries,MM,Transportation Fuel Supplier
104010,Phillips 66 Company - Fuel Supplier,2020,15068014.26,0.00,0.00,13987940.41,1080073.85,0.00,0.00,13987940.41,0.00,13987940.41,1080073.85,Houston,TX,77042,424710 - Petroleum Bulk Stations and Terminals,"MM,NN",Transportation Fuel Supplier
104071,Valero Marketing and Supply Company - Fuel Supplier,2020,14289818.55,0.00,0.00,12977995.56,1311822.99,0.00,0.00,12977995.56,0.00,12977995.56,1311822.99,San Antonio,TX,78249,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),MM,Transportation Fuel Supplier
104051,Shell Oil Products US - Supply - Fuel Supplier,2020,8948589.33,0.00,0.00,8377701.81,570887.52,0.00,0.00,8377701.81,0.00,8377701.81,570887.52,Houston,TX,77002,424710 - Petroleum Bulk Stations and Terminals,"MM,NN",Transportation Fuel Supplier
104476,PBF Energy Western Region LLC,2020,8402824.30,0.00,0.00,7878382.72,524441.58,0.00,0.00,7878382.72,0.00,7878382.72,524441.58,Torrance,CA,90504,424710 - Petroleum Bulk Stations and Terminals,MM,Transportation Fuel Supplier
104001,BP Products North America Inc - Terminals,2020,6771386.24,0.00,0.00,6039247.63,732138.61,0.00,0.00,6039247.63,0.00,6039247.63,732138.61,Chicago,IL,60606,424710 - Petroleum Bulk Stations and Terminals,MM,Transportation Fuel Supplier
